time,lane,monster
6.200,1,0
7.000,1,0
7.400,1,0
8.200,1,6
8.600,1,3
9.000,1,3
9.400,1,3
9.800,2,3
10.200,2,1
10.400,2,1
11.200,1,5
11.600,1,1
11.800,1,1
12.200,1,1
12.600,1,1
13.200,2,6
13.600,2,5
14.200,1,5
14.600,2,2
15.000,2,2
15.200,2,2
15.400,1,4
15.800,1,4
16.200,1,4
16.400,1,4
16.800,1,6
17.200,1,6
17.600,2,2
18.000,2,2
18.400,2,2
18.800,1,3
19.400,1,3
19.600,1,3
20.000,1,3
20.400,2,0
20.800,1,4
21.200,1,4
21.400,1,4
21.600,1,4
21.800,1,4
22.000,2,3
22.400,2,3
22.800,2,3
23.200,2,3
23.800,2,2
24.400,2,2
24.600,2,2
25.200,1,5
25.600,1,6
26.000,1,5
26.200,1,6
26.400,1,6
26.800,2,5
27.200,1,4
27.600,1,4
27.800,1,4
28.000,1,4
28.200,2,4
28.400,1,5
28.800,1,5
29.200,1,1
29.400,1,1
29.800,1,1
30.000,1,1
30.400,2,1
30.600,2,1
31.000,2,3
31.200,2,3
31.600,2,3
31.800,1,3
32.200,1,0
32.400,1,0
32.600,1,0
32.800,1,0
33.000,1,0
33.200,2,0
33.600,1,5
34.000,1,3
34.200,1,3
34.400,1,3
34.600,1,3
35.000,2,0
35.400,2,0
35.800,2,0
36.600,2,6
37.000,2,5
37.400,2,5
37.800,1,5
39.800,1,5
41.400,1,6
41.600,1,6
42.000,1,6
42.400,1,6
42.800,1,6
43.200,1,1
43.600,1,1
44.200,2,1
44.600,1,1
45.000,1,1
45.200,1,1
45.800,2,5
46.200,1,6
46.600,1,3
46.800,1,3
47.000,1,3
47.200,1,3
47.600,2,6
48.000,2,4
48.200,2,4
48.400,2,4
49.000,1,4
49.200,1,4
49.800,1,1
50.000,1,1
50.400,1,5
50.800,2,6
51.200,1,2
51.400,1,2
51.600,1,2
52.000,2,5
52.400,1,0
52.800,1,0
53.000,1,0
53.200,1,0
53.600,2,6
54.000,1,0
54.400,1,0
54.800,1,0
55.200,1,0
55.600,1,0
56.000,1,0
56.400,1,0
56.800,2,1
58.000,2,1
58.400,1,5
58.800,2,3
59.200,2,3
59.400,2,3
59.600,2,3
60.000,1,2
60.400,2,2
60.800,2,2
61.000,2,3
61.200,2,3
61.400,2,3
61.600,2,3
61.800,1,5
62.400,1,1
62.600,1,1
63.000,1,0
63.400,1,0
64.000,2,2
64.200,2,2
64.400,2,2
64.600,1,5
65.000,2,6
65.400,2,4
65.600,2,4
65.800,2,4
66.000,2,4
66.200,2,4
66.400,1,5
67.000,1,5
67.400,1,5
68.000,1,6
68.400,1,6
69.000,1,6
69.400,2,5
70.000,1,3
70.200,1,3
70.400,1,3
70.600,1,3
71.000,2,5
71.400,1,0
71.800,1,0
72.200,1,0
72.600,2,6
73.000,2,6
73.400,2,6
73.800,2,6
74.200,1,5
74.600,1,5
75.000,1,5
75.400,1,5
75.800,1,6
76.200,2,6
76.600,1,3
76.800,1,3
77.000,1,3
77.200,2,3
77.600,1,5
78.200,1,1
78.400,1,1
78.800,1,6
79.200,1,6
79.600,1,6
80.000,2,
80.400,2,0
80.800,2,0
81.200,2,0
81.600,2,0
82.000,2,0
82.400,1,5
82.800,1,5
83.000,1,2
83.200,1,2
83.400,1,2
83.600,2,6
84.000,1,0
84.400,1,0
84.800,1,0
85.200,1,0
85.600,1,0
86.000,1,1
86.200,1,1
86.600,1,3
87.000,1,3
87.400,1,3
87.800,1,3
88.400,2,5
88.800,2,5
89.200,2,5
89.600,1,2
89.800,1,2
90.000,1,2
90.200,2,4
90.600,2,4
91.000,2,4
91.400,2,4
91.800,2,4
92.200,1,3
92.400,1,3
92.800,1,3
93.200,2,5
93.600,1,6
93.800,2,6
94.200,1,5
94.600,2,6
96.400,1,5
98.000,2,6
99.400,1,5
101.200,2,6
102.600,1,5
104.200,2,6
106.800,1,5
107.000,2,2
107.200,2,2
107.400,2,2
107.600,1,0
108.200,1,0
108.400,1,0
108.600,1,0
109.200,2,5
109.600,1,1
109.800,1,1
110.200,2,4
110.600,2,4
111.000,2,4
111.400,2,4
111.600,2,4
112.000,1,0
112.400,1,0
112.800,1,0
113.200,1,0
113.600,1,0
114.000,2,5
114.400,1,3
114.600,1,3
114.800,1,3
115.000,1,3
115.200,2,6
115.600,1,5
116.000,2,3
116.200,2,3
116.400,2,3
116.600,2,3
117.000,1,4
117.200,1,4
117.600,1,4
118.000,1,4
118.400,1,4
118.800,2,5
119.000,2,5
119.400,1,6
119.800,1,6
120.000,1,6
120.400,2,5
120.800,2,5
121.000,2,1
121.200,2,1
121.400,1,1
121.800,1,1
122.200,1,2
122.400,1,2
122.600,1,2
123.000,2,5
123.400,2,5
123.800,2,5
124.200,2,5
124.600,2,5
125.000,2,5
125.400,1,6
125.800,1,6
126.200,1,6
126.600,2,6
127.000,1,2
127.200,1,2
127.400,1,2
127.800,2,5
128.200,1,6
128.600,2,3
128.800,2,3
129.000,2,3
129.200,2,3
129.400,1,5
129.800,1,5
130.200,1,5
130.600,1,5
131.400,1,6
131.800,1,6
132.200,1,6
132.600,1,6
