time,lane,monster
3.444,1,0
4.53,1,0
5.659,1,1
6.771,1,1
7.812,1,2
8.884,1,2
9.959,1,2
11.015,1,2
12.062,1,2
13.126,1,1
14.139,1,1
15.223,1,2
16.259,1,2
17.341,1,0
18.361,1,1
19.255,1,2
20.322,1,2
21.394,1,0
22.415,1,1
23.425,1,1
24.474,1,2
25.154,1,2
27.154,1,1
28.154,1,0
29.154,1,0
30.154,1,1
31.154,1,0
32.154,1,0
33.154,1,1
34.154,1,0
35.154,1,0
36.154,1,2
37.154,1,1
38.154,1,2
39.154,1,1
40.154,1,1
41.154,1,2
42.154,1,1
45.154,1,1
44.154,1,0
46.154,1,1
47.154,1,0
48.154,1,0
49.154,1,2
50.154,1,1
51.154,1,0
52.154,1,0
53.154,1,2
54.154,1,0
55.154,1,1
56.154,1,1
57.154,1,1
58.154,1,2
59.154,1,1
60.154,1,0
